symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MIR205	0.056152885179550756	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4618361612880833	No data	No data	No data	No data	No data	No data	0	No data	No data	-0.6756040679228733	No data	No data	No data	No data	No data	No data
AMPH	0.05614244250983791	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4617502742944166	No data	1	0	0	0	0	0.05035999999999987	No data	-0.43849972421400996	-0.6721027642887711	0	No data	No data	0	0.75	0
NEK1	0.056066497390541446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07734230702947845	No data	0.46112565452194554	No data	0	0	1	1	0	0.09408999999999992	No data	-0.01709873138444562	-0.8838399357201034	0	No data	No data	0	-1	-1
SAFB	0.05584029166826832	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4592651983387598	No data	0	0	0	0	0	0.3347850000000001	No data	-0.9453943739658025	-0.871113395707235	0	No data	No data	-0.33478749999999985	-1	-1
THRB	0.055654241879945915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13408658146382602	No data	0.45773500946649553	1	0	0	1	1	1	0.08893500000000003	0	-0.7619415333701048	-0.8813494094413554	0	No data	No data	-0.06724499999999996	-1	0
ZCCHC8	0.05552301600957101	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45665572650459885	No data	0	0	0	0	0	0.03819000000000017	No data	-0.4239382239382239	-0.6658751251884567	No data	No data	No data	No data	0.5	-1
FSTL3	0.05551657543729728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4566027552429105	No data	0	1	0	0	0	0.06843999999999965	No data	0.7434087148372863	-0.9069317934409776	0	No data	No data	0	-1	-1
PLPP6	0.05551657543729728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4566027552429105	No data	0	0	0	0	0	0.35593	No data	0.8282404853833425	0	0	No data	No data	0	-1	-1
CORT	0.05537349259655609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45542595320143386	No data	0	1	0	0	0	0	No data	0.5962493105350248	-0.2690870929787825	0	No data	No data	0	1	0.5
PAX9	0.05526697146955031	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4545498573742091	No data	0	0	0	0	0	0.9266849999999998	No data	-0.7564258135686708	-0.9614632214418369	0	No data	No data	-0.11290249999999986	0.75	0.5
MARK2	0.05517091635586532	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2330397412757492	No data	0.4537598405329637	No data	1	0	1	1	0	0.8413699999999998	No data	-0.8977385548814121	-0.9004318810833447	0	No data	No data	-0.2100249999999999	-1	-1
AKT2	0.05469885193414722	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.044074982826842524	No data	0.44987728989091114	1	0	0	1	1	1	0.9064450000000001	1	-0.7965802537231108	-0.7157962501206744	0	-1	-1	-0.5322250000000001	-1	-1
CLDN11	0.05452840263442612	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.042939043300417166	No data	0.4484754091144252	No data	0	0	0	0	0	0.710145	No data	-0.8467733039161611	-0.311005303510887	0	No data	No data	0	0.75	0
SEC11C	0.05452287846815987	0.08968599498884414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8958350000000003	No data	-0.14760066188637622	0	0	No data	No data	-0.34895749999999987	-1	-1
DNAI7	0.05452233438371574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484255000562378	No data	0	0	0	0	0	0	No data	0.4921125206839492	-0.7235104714555121	0	No data	No data	No data	0.5	0
